Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
140D0425P0016,12/20/2024,BSI INC,105301,OAS SEA PLANE TUG,140D0425Q0046,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,OFFICE OF AVIATION SERVICES (00082),1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336212 TRUCK TRAILER MANUFACTURING,Department of the Interior,Departmental Offices,PURCHASE ORDER,12/20/2024,5/29/2025,12/20/2024,CONT_AWD_140D0425P0016_1406_-NONE-_-NONE-,12/20/2024,140D04
140FS125P0212,9/3/2025 0:00,"LEGACY BROTHERS, INC",28013.1,OR-SHELDON-HART-MTN-NWR COMPLEX FIRE UAS TRAILER,140FS125Q0116,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,7,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,FWS PACIFIC REGIONAL OFFICE,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336212 TRUCK TRAILER MANUFACTURING,Department of the Interior,U.S. Fish and Wildlife Service,PURCHASE ORDER,9/3/2025 0:00,11/15/2025 0:00,9/3/2025,CONT_AWD_140FS125P0212_1448_-NONE-_-NONE-,9/3/2025 0:00,140FS1
47QSWC25F0052,2/20/2025,"BEAM DISTRIBUTING, INC.",2018574.6,NAVAIR AIRFIELD OPERATIONAL KITS THAILAND AND VIETNAM,47QSWC25Q0033,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,6,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,NAVAL AIR SYSTEMS COMMAND,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,"337215 SHOWCASE, PARTITION, SHELVING, AND LOCKER MANUFACTURING",Department of Defense,Department of the Navy,DELIVERY ORDER,2/24/2025,4/1/2026,4/23/2025,CONT_AWD_47QSWC25F0052_4732_GS07F256AA_4732,2/20/2025,47QSWC
47QSWC25F0091,5/23/2025,TLD WOLLARD LLC,99343.45,BPA CALL ORDER AIRCRAFT BAGGAGE LOADER,47QSWC25Q0117,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,333922 CONVEYOR AND CONVEYING EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,BPA CALL,5/28/2025,11/30/2025,5/23/2025,CONT_AWD_47QSWC25F0091_4732_47QSWC20A0006_4732,5/23/2025,47QSWC
47QSWC25F0131,7/29/2025,"ATLANTIC DIVING SUPPLY, INC.",5133165.42,NAVAIR AIRFIELD OPERATIONAL KITS INDONESIA PALAU PAPUA NEW GUINEA MICRONESIA PHILIPPINES CABO VERDE,47QSWC25Q0178,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,4,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,NAVAL AIR SYSTEMS COMMAND,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,332999 ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,7/31/2025,1/28/2027,8/4/2025,CONT_AWD_47QSWC25F0131_4732_47QSMA19D08Q1_4732,7/29/2025,47QSWC
70Z03825FD0000037,9/9/2025 0:00,AERO SPECIALTIES INC,169356.8,PURCHASE OF ONE (1) TOW TRACTOR TO CONDUCT FIRST ARTICLE TESTING FOR POSSIBLE REPLACEMENT FLEET WIDE.,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,3,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336112 LIGHT TRUCK AND UTILITY VEHICLE MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,9/9/2025 0:00,3/18/2026 0:00,9/9/2025,CONT_AWD_70Z03825FD0000037_7008_GS30F0030X_4732,9/9/2025 0:00,70Z038
FA441825P0025,5/5/2025,BECKER TRAILERS LLC,184998,WARBOX MOBILITY TRAILER,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,6,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,437 AMXS,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336999 ALL OTHER TRANSPORTATION EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,PURCHASE ORDER,5/2/2025,7/1/2025,5/5/2025,CONT_AWD_FA441825P0025_9700_-NONE-_-NONE-,5/5/2025,FA4418
FA853225F0014,10/9/2024,"BONEAL, INCORPORATED",7803,"THIRD PARTY EQUIPMENT PURCHASING TO SOURCE, ACQUIRE, AND MANAGE DELIVERY OF A BROAD RANGE OF SUPPORT EQUIPMENT NATIONAL STOCK NUMBERS.",,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,9,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,10/9/2024,5/7/2025,4/26/2025,CONT_AWD_FA853225F0014_9700_FA851722D0012_9700,10/9/2024,FA8532
FA853225F0023,10/16/2024,F3 LOGISTICS LLC,185056,"THIRD PARTY EQUIPMENT PURCHASING TO SOURCE, ACQUIRE, AND MANAGE DELIVERY OF A BROAD RANGE OF SUPPORT EQUIPMENT NATIONAL STOCK NUMBERS.",,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,9,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,10/16/2024,10/31/2025,12/17/2024,CONT_AWD_FA853225F0023_9700_FA851722D0013_9700,10/16/2024,FA8532
FA853225F0030,10/22/2024,"CHEROKEE NATION AEROSPACE AND DEFENSE, L.L.C.",38556,"THIRD PARTY EQUIPMENT PURCHASING (3PEP) SERVICES REQUIREMENT TO SOURCE, ACQUIRE, AND DELIVER A BROAD RANGE OF SUPPORT EQUIPMENT OF NATIONAL STOCK NUMBERS (NSNS).",,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,4,FIRM FIXED PRICE,,F3QCDK AFLCMC ROZ SPT EQUIP VEH,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,10/22/2024,12/8/2025,10/22/2024,CONT_AWD_FA853225F0030_9700_FA851723D0002_9700,10/22/2024,FA8532
