Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
70Z03823FC0000017,3/1/2023,GE AVIATION SYSTEMS LLC,3083.64,PURCHASE OF TWELVE (12) EA OF GUIDE BUSH (PTFE)-P/N: 697005612 FROM BOA,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,3/1/2023,4/3/2023,5/31/2024,CONT_AWD_70Z03823FC0000017_7008_SPE4A119G0016_9700,3/1/2023,70Z038
70Z03823FC0000019,3/7/2023,GE AVIATION SYSTEMS LLC,157.74,NEW PURCHASE OF CIRCLIP TO BE USED ON THE UNITED STATES COAST GUARD C-130J FIXED WING AIRCRAFT.,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,3/7/2023,12/31/2023,8/19/2025,CONT_AWD_70Z03823FC0000019_7008_SPE4A119G0016_9700,3/7/2023,70Z038
70Z03823FC0000021,3/17/2023,GE AVIATION SYSTEMS LLC,22896.34,"NEW PURCHASE OF CIRCLIP, AIR TRANSPORT COVER, O-RING, PCU PRESSURE SWITCH, AND O-RING SEAL THAT WILL BE USED ON THE UNITED STATES COAST GUARD C-130J AIRCRAFT.",,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,3/17/2023,8/16/2024,5/30/2023,CONT_AWD_70Z03823FC0000021_7008_SPE4A119G0016_9700,3/17/2023,70Z038
70Z03823FC0000026,5/25/2023,GE AVIATION SYSTEMS LLC,148357.54,REPAIR OF MULTIPLE PROPELLER ASSEMBLY PIECE PARTS FOR USE ON THE UNITED STATE COAST GUARD C-130,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,5/25/2023,10/2/2023,5/31/2024,CONT_AWD_70Z03823FC0000026_7008_70Z03820DW0000001_7008,5/25/2023,70Z038
70Z03823FC0000028,6/20/2023,GE AVIATION SYSTEMS LLC,11650,PURCHASE OF WASHER FOR LONG RANGE SURVEILLANCE AIRCRAFT.,,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,6/20/2023,5/9/2024,6/20/2023,CONT_AWD_70Z03823FC0000028_7008_SPE4A119G0016_9700,6/20/2023,70Z038
70Z03823FC0000050,9/1/2023,GE AVIATION SYSTEMS LLC,1835228.36,PURCHASE OF PROPELLER SUB-ASSEMBLY SPARES TO BE INSTALLED ON THE HC-130 AIRCRAFT.,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,9/1/2023,10/2/2026,9/1/2023,CONT_AWD_70Z03823FC0000050_7008_70Z03820DW0000001_7008,9/1/2023,70Z038
70Z03823FJ0000226,8/29/2023,GENERAL ELECTRIC COMPANY,14174310,PROCUREMENT OF NEW T700-401D ENGINES.,70Z03823RJ0000006,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336411 AIRCRAFT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,8/29/2023,7/5/2026,8/4/2025,CONT_AWD_70Z03823FJ0000226_7008_SPE4A122G0010_9700,8/29/2023,70Z038
70Z03823FL0000012,12/13/2022,GENERAL ELECTRIC COMPANY,690000,"OVERHAUL/REPAIR OF CT7 ENGINE, MODULE AND COMPONENTS USED ON THE HC-144 AIRCRAFT.",,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,12/13/2022,6/14/2023,7/17/2024,CONT_AWD_70Z03823FL0000012_7008_70Z03823DL0000001_7008,12/13/2022,70Z038
70Z03823FL0000014,12/21/2022,GENERAL ELECTRIC COMPANY,345000,"OVERHAUL/REPAIR OF CT7 ENGINE, MODULE AND COMPONENTS USED ON THE HC-144 AIRCRAFT.",,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,12/21/2022,6/23/2023,7/17/2024,CONT_AWD_70Z03823FL0000014_7008_70Z03823DL0000001_7008,12/21/2022,70Z038
70Z03823FN0000024,8/16/2023,GE AVIATION SYSTEMS LLC,206564.56,PURCHASE OF SPARES FOR HC-27J AIRCRAFT.,70Z03823QW0000160,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,8/16/2023,3/16/2024,6/5/2024,CONT_AWD_70Z03823FN0000024_7008_SPE4A119G0016_9700,8/16/2023,70Z038
70Z03823FR0000024,12/29/2022,GENERAL ELECTRIC COMPANY,287388,OVERHAUL AND MODIFICATION OF GG ROTOR ASSEMBLIES UTILIZED ON THE MH-60T AIRCRAFT.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336411 AIRCRAFT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,12/29/2022,2/20/2023,5/31/2024,CONT_AWD_70Z03823FR0000024_7008_70Z03822DJ0000003_7008,12/29/2022,70Z038
70Z03823FR0000039,2/3/2023,GENERAL ELECTRIC COMPANY,358000,OVERHAUL OF MULTIPLE ENGINE COMPONENTS AND MODULES FOR UTILIZATION ON MH-60T AIRCRAFTS.,70Z03822RJ0000001,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336411 AIRCRAFT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,2/3/2023,7/5/2023,5/31/2024,CONT_AWD_70Z03823FR0000039_7008_70Z03823DJ0000003_7008,2/3/2023,70Z038
70Z03823FR0000041,2/3/2023,GENERAL ELECTRIC COMPANY,226942,OVERHAUL OF VARIOUS COMPONENTS UTILIZED ON THE MH-60T AIRCRAFT.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336411 AIRCRAFT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,2/3/2023,6/5/2023,5/31/2024,CONT_AWD_70Z03823FR0000041_7008_70Z03822DJ0000003_7008,2/3/2023,70Z038
70Z03823FR0000049,2/14/2023,GENERAL ELECTRIC COMPANY,258643,OVERHAUL OF VARIOUS COMPONENTS UTILIZED ON THE MH-60T AIRCRAFT.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336411 AIRCRAFT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,2/14/2023,7/15/2023,5/31/2024,CONT_AWD_70Z03823FR0000049_7008_70Z03822DJ0000003_7008,2/14/2023,70Z038
70Z03823FR0000081,4/13/2023,GENERAL ELECTRIC COMPANY,459796,OVERHAUL OF VARIOUS COMPONENTS UTILIZED ON THE MH-60T AIRCRAFT.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),"2840 GAS TURBINES AND JET ENGINES, AIRCRAFT, PRIME MOVING; AND COMPONENTS",336411 AIRCRAFT MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,4/13/2023,8/11/2023,5/31/2024,CONT_AWD_70Z03823FR0000081_7008_70Z03822DJ0000003_7008,4/13/2023,70Z038
