Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
12639523P0381,2023-08-10,"MAC-V AVIATION, INC.",87240.45,"THE UNITED STATES DEPARTMENT OF AGRICULTURE (USDA), ANIMAL AND PLANT HEALTH INSPECTION SERVICE (APHIS), WILDLIFE SERVICES (WS) GUAM STATE OFFICE (WS-GUAM) INTENDS TO PROCURE THE SERVICES OF A QUALIFIED MD500/OH-6 HELICOPTER MECHANIC FOR OPERATIONAL S",365,-398,Ended,12639523Q0242,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,1,FIRM FIXED PRICE,SMALL BUSINESS SET ASIDE - TOTAL,WS BARRIGADA GU,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Agriculture,Animal and Plant Health Inspection Service,PURCHASE ORDER,2023-08-10,2024-08-09,2025-01-30,CONT_AWD_12639523P0381_12K3_-NONE-_-NONE-,2023-08-10,126395
15M10323FA4700074,2023-03-10,AARDVARK,28200.0,"HOTEL LODGING , POP 8212023 - 82523",4,-748,Ended,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,"U.S. DEPT OF JUSTICE, USMS",4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336411 AIRCRAFT MANUFACTURING,Department of Justice,U.S. Marshals Service,DELIVERY ORDER,2023-08-21,2023-08-25,2023-03-14,CONT_AWD_15M10323FA4700074_1544_15A00020DAQA00605_1560,2023-03-10,15M103
15M10323PA4700086,2023-09-01,CAMP SYSTEMS INTERNATIONAL INC.,13350.0,MAINTENANCE MANAGEMENT SYSTEMS FOR CESSNA 208 AND 206 MODEL AIRCRAFT,365,-376,Ended,EMAIL,SIMPLIFIED ACQUISITION,NOT COMPETED UNDER SAP,1,FIRM FIXED PRICE,NO SET ASIDE USED.,"U.S. DEPT OF JUSTICE, USMS",4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,541511 CUSTOM COMPUTER PROGRAMMING SERVICES,Department of Justice,U.S. Marshals Service,PURCHASE ORDER,2023-09-01,2024-08-31,2025-04-17,CONT_AWD_15M10323PA4700086_1544_-NONE-_-NONE-,2023-09-01,15M103
19ZA6023P0704,2023-09-15,MISCELLANEOUS FOREIGN AWARDEES,20919.34,ELECTRIC INDOOR FORKLIFT/ORDER PICKER,13,-714,Ended,,SIMPLIFIED ACQUISITION,COMPETED UNDER SAP,3,FIRM FIXED PRICE,NO SET ASIDE USED.,BUREAU OF AFRICAN AFFAIRS,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,332710 MACHINE SHOPS,Department of State,Department of State,PURCHASE ORDER,2023-09-15,2023-09-28,2023-09-19,CONT_AWD_19ZA6023P0704_1900_-NONE-_-NONE-,2023-09-15,19ZA60
47QSWC23F0062,2023-04-27,"TACTICAL & SURVIVAL SPECIALTIES, LLC",715280.0,PMA 265 AIRCRAFT ENGINE ASSESSMENT ENGINEERING TOOLS,91,-769,Ended,47QSWC23Q0074,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,1,FIRM FIXED PRICE,,NAVAL AIR SYSTEMS COMMAND,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,315990 APPAREL ACCESSORIES AND OTHER APPAREL MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,2023-05-05,2023-08-04,2023-05-01,CONT_AWD_47QSWC23F0062_4732_GS07F016DA_4732,2023-04-27,47QSWC
6973GH23F00417,2022-12-31,ROLLS-ROYCE DEUTSCHLAND LTD & CO KG,263934.0,"ROLLS ROYCE CORPORATECARE 6973GH-21-D-00007 OPT 2 01/01/2023 - 12/31/2023 ENG #1 300 HOURS @ $439.89 = $131,967.00 ENG #2 300 HOURS @ $439.89 = $131,967.00 TOTAL $263,934.00",365,-620,Ended,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,FAA,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,488190 OTHER SUPPORT ACTIVITIES FOR AIR TRANSPORTATION,Department of Transportation,Federal Aviation Administration,DELIVERY ORDER,2022-12-31,2023-12-31,2024-07-01,CONT_AWD_6973GH23F00417_6920_6973GH21D00007_6920,2022-12-31,6973GH
70B02C23P00000300,2023-06-29,ULTRAX AEROSPACE INC,524314.0,ULTRAX EQUIPMENT CALIBRATION,917,111,>60,20138488,ONLY ONE SOURCE,NOT COMPETED,1,FIRM FIXED PRICE,NO SET ASIDE USED.,OFFICE OF AIR AND MARINE OPERATIONS,4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Homeland Security,U.S. Customs and Border Protection,PURCHASE ORDER,2023-06-28,2025-12-31,2025-07-31,CONT_AWD_70B02C23P00000300_7014_-NONE-_-NONE-,2023-06-29,70B02C
70Z03823FD0000013,2022-12-20,"EDMO DISTRIBUTORS, INCORPORATED",35710.85,PURCHASE BREAKOUT BOX TESTERS USED IN THE PERFORMANCE OF MAITENANCE AND REPAIR ON U.S. COAST GUARD AIRCRAFT.,76,-920,Ended,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,3,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,334515 INSTRUMENT MANUFACTURING FOR MEASURING AND TESTING ELECTRICITY AND ELECTRICAL SIGNALS,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,2022-12-20,2023-03-06,2024-05-31,CONT_AWD_70Z03823FD0000013_7008_GS07F5985R_4730,2022-12-20,70Z038
70Z03823FD0000037,2023-05-18,TESTVONICS INC,509232.0,AIR DATA PRESSURE TEST SETS,181,-666,Ended,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,"334513 INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,2023-05-18,2023-11-15,2023-05-18,CONT_AWD_70Z03823FD0000037_7008_70Z03820DE0000002_7008,2023-05-18,70Z038
70Z03823FD0000044,2023-06-06,TESTVONICS INC,254616.0,AIR DATA PRESSURE TEST SETS,178,-650,Ended,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,"334513 INSTRUMENTS AND RELATED PRODUCTS MANUFACTURING FOR MEASURING, DISPLAYING, AND CONTROLLING INDUSTRIAL PROCESS VARIABLES",Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,2023-06-06,2023-12-01,2024-05-31,CONT_AWD_70Z03823FD0000044_7008_70Z03820DE0000002_7008,2023-06-06,70Z038
70Z03823FP0000003,2022-11-09,UNITED COMMERCIAL SUPPLY LLC,2700.0,PURCHASE 10GAL TANK LINERS,21,-1016,Ended,,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION,3,FIRM FIXED PRICE,,AVIATION LOGISTICS CENTER (ALS),4920 AIRCRAFT MAINTENANCE AND REPAIR SHOP SPECIALIZED EQUIPMENT,332510 HARDWARE MANUFACTURING,Department of Homeland Security,U.S. Coast Guard,DELIVERY ORDER,2022-11-09,2022-11-30,2024-05-31,CONT_AWD_70Z03823FP0000003_7008_GS21F0041U_4730,2022-11-09,70Z038
