Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
47QFCA23C0003,4/20/2023,"SEACORP, LLC",30219387.09,ATD HMI SBIR III. THIS SBIR PHASE III DERIVES FROM SBIR PHASE I CONTRACT N00024-15-P-4508 AND SBIR PHASE II CONTRACT N00024-16-C-4530.,47QFCA23R0007,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1,COST PLUS FIXED FEE,NO SET ASIDE USED.,NAVSEA HQ,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,4/21/2023,4/20/2028,7/15/2025,CONT_AWD_47QFCA23C0003_4732_-NONE-_-NONE-,4/20/2023,47QFCA
47QFCA23F0021,4/6/2023,"IST RESEARCH, LLC",7579903,"IST DO24 SOCEUR INITIAL AWARD. SBIR PHASE III DERIVED FROM WORK COMPLETED UNDER COMPETITIVELY AWARDED SBIR PHASE I CONTRACTS N00014-12-M-0115, D17PC00004 AND SBIR PHASE II CONTRACTS W911QX-13-C-0173, W911NF-14-C-0031, W911NF-17-C-0014.",47QFCA23R0031,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,WASHINGTON HEADQUARTERS SERVICES,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Washington Headquarters Services,DELIVERY ORDER,4/7/2023,4/6/2025,4/10/2025,CONT_AWD_47QFCA23F0021_4732_47QFCA20D0004_4732,4/6/2023,47QFCA
47QFCA23F0022,4/12/2023,"IST RESEARCH, LLC",6550442,"IST SBIR III DO25 INITIAL AWARD. SBIR PHASE III DERIVED FROM WORK COMPLETED UNDER COMPETITIVELY AWARDED SBIR PHASE I CONTRACTS N00014-12-M-0115, D17PC00004 AND SBIR PHASE II CONTRACTS W911QX-13-C-0173, W911NF-14-C-0031, W911NF-17-C-0014.",47QFCA23R0036,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,F2VUQ0 HQ USSOCOM SOF ATL AIS TIS,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,4/14/2023,4/13/2025,4/16/2025,CONT_AWD_47QFCA23F0022_4732_47QFCA20D0004_4732,4/12/2023,47QFCA
47QFCA23F0025,5/4/2023,"IST RESEARCH, LLC",10495149,MOD 01 - CLOSEOUT IST PULSE SBIR III DO 26 ARCYBER USCC,47QFCA23R0037,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,W6QK ACC-APG DURHAM,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Army,DELIVERY ORDER,3/2/2023,3/1/2025,9/19/2024,CONT_AWD_47QFCA23F0025_4732_47QFCA20D0004_4732,5/4/2023,47QFCA
47QFCA23F0029,7/20/2023,"IST RESEARCH, LLC",2984734,IST PULSE SBIR III DO 27 SOCSOUTH,47QFCA23R0047,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,W096 USA ELM HQ USSOUTHCOM,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Army,DELIVERY ORDER,5/30/2023,5/29/2024,10/12/2023,CONT_AWD_47QFCA23F0029_4732_47QFCA20D0004_4732,7/20/2023,47QFCA
47QFCA23F0038,8/4/2023,"IST RESEARCH, LLC",3380445,IST PULSE SBIR III DO 28 SOCAFRICA,47QFCA23R0058,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,SOCAFRICA  CONTRACTING OFFICE,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,U.S. Special Operations Command,DELIVERY ORDER,8/4/2023,8/3/2025,9/10/2024,CONT_AWD_47QFCA23F0038_4732_47QFCA20D0004_4732,8/4/2023,47QFCA
47QFCA23F0042,9/8/2023,"IST RESEARCH, LLC",2754282,IST PULSE SBIR III DO 29 DTRA,47QFCA23R0070,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,DEFENSE THREAT REDUCTION AGENCY,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Defense Threat Reduction Agency,DELIVERY ORDER,9/8/2023,9/7/2025,9/5/2024,CONT_AWD_47QFCA23F0042_4732_47QFCA20D0004_4732,9/8/2023,47QFCA
47QFCA23F0044,9/8/2023,"IST RESEARCH, LLC",1425836,"IST PULSE SBIR III DO 31 JSOC. THIS SBIR PHASE III DERIVED FROM WORK COMPLETED UNDER COMPETITIVELY AWARDED SBIR PHASE I CONTRACTS N00014-12-M-0115, D17PC00004 AND SBIR PHASE II CONTRACTS W911QX-13-C-0173, W911NF-14-C-0031, W911NF-17-C-0014.",47QFCA23R0069,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,JSOC,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,U.S. Special Operations Command,DELIVERY ORDER,9/8/2023,9/7/2025,8/22/2025,CONT_AWD_47QFCA23F0044_4732_47QFCA20D0004_4732,9/8/2023,47QFCA
47QFCA23F0049,9/27/2023,"IST RESEARCH, LLC",1329130,"IST DO30 ORIGINAL AWARD. THIS SBIR PHASE III DERIVED FROM WORK COMPLETED UNDER COMPETITIVELY AWARDED SBIR PHASE I CONTRACTS N00014-12-M-0115, D17PC00004 AND SBIR PHASE II CONTRACTS W911QX-13-C-0173, W911NF-14-C-0031, W911NF-17-C-0014.",47QFCA23R0078,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,F3R7A0 50 NOG,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Air Force,DELIVERY ORDER,9/29/2023,9/28/2024,9/28/2023,CONT_AWD_47QFCA23F0049_4732_47QFCA20D0004_4732,9/27/2023,47QFCA
47QFCA23F0050,9/23/2023,"DEFENSE UNICORNS, INC.",7453432.01,AIR GAP SBIR III TO2 BAPTI (BIOMETRIC AUTHENTICATION PLATFORM TECHNOLOGY INTEGRATION),47QFCA23R0059,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,NAVSEA HQ,AC33 NATIONAL DEFENSE R&D SERVICES; DEFENSE-RELATED ACTIVITIES; EXPERIMENTAL DEVELOPMENT,"541715 RESEARCH AND DEVELOPMENT IN THE PHYSICAL, ENGINEERING, AND LIFE SCIENCES (EXCEPT NANOTECHNOLOGY AND BIOTECHNOLOGY)",Department of Defense,Department of the Navy,DELIVERY ORDER,9/25/2023,9/24/2024,4/3/2025,CONT_AWD_47QFCA23F0050_4732_47QFCA22D0503_4732,9/23/2023,47QFCA
