Award ID,Award Date,Recipient Name,Awarded$,Award Description,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
FA850924F0003,11/17/2023,"DMAERO, LLC",20418619.57,INDEFINITE DELIVERY INDEFINITE QUANTITY CONTRACT FOR THE SPECIAL OPERATION FORCES PERSONNEL RECOVERY FIXED WING AND ROTARY DIVISION AIRCRAFT MODIFICATIONS,FA850919R0002,SUBJECT TO MULTIPLE AWARD FAIR OPPORTUNITY,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,4,FIRM FIXED PRICE,,F3QCBB AFLCMC WIU,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,11/17/2023,11/21/2025,5/27/2025,CONT_AWD_FA850924F0003_9700_FA850920D0001_9700,11/17/2023,FA8509
FA862524FB012,4/30/2024,LOCKHEED MARTIN CORP,6128873,"C-130J UNITED STATES AIR FORCE LARGE AIRCRAFT INFRARED COUNTERMEASURES BLOCK 20 TO BLOCK 30 GROUP A KIT NON-RECURRING ENGINEERING AND TRIAL KIT INSTALLTION FOR COMBINED AIRCRAFT DELIVERY, DEVELOPMENT, INTEGRATION AND ENGINEERING CONTRACT",,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,F4FDCT AFLCMC WLN J,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336411 AIRCRAFT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,4/30/2024,3/23/2028,6/20/2025,CONT_AWD_FA862524FB012_9700_FA862520D3000_9700,4/30/2024,FA8625
FA862924FB036,8/28/2024,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",1100695.35,"THE CONTRACTOR SHALL FABRICATE ONE (1) EVDT INSTALLATION KIT FOR THE HC-130J PROGRAM OFFICE (PO) AT WPAFB, OH.",,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDHB AFLCMC WIS,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,9/2/2024,6/30/2026,3/25/2025,CONT_AWD_FA862924FB036_9700_FA862920D5020_9700,8/28/2024,FA8629
FA862924FB038,9/11/2024,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",181025.41,THE CONTRACTOR SHALL FABRICATE ELEVEN (11) CV-22 SAMS-ESA SEAT PLATES FOR THE CV-22 PROGRAM OFFICE FABRICATED TO THE DRAWING PACKAGE PROVIDED BY THE RDIF.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDBV AFLCMC WIB CV-22,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,9/13/2024,12/31/2025,4/9/2025,CONT_AWD_FA862924FB038_9700_FA862920D5020_9700,9/11/2024,FA8629
FA862924FB040,8/28/2024,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",148386.9,CNI SHALL PROVIDE SIX HUNDRED -NINETY-FIVE (695) F-16 THROTTLE COVERS AND LWA (LOOSE WIRE ASSEMBLY) KITS FABRICATED TO THE DRAWING PROVIDED BY THE RDIF AND TWO (2) ADDITIONAL UNFINISHED F-16 COVERS FOR FIT CHECKS AND FIRST ARTICLE INSPECTION (FAI).,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDHC AFLCMC WIS RDIF,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,8/30/2024,6/30/2025,10/8/2024,CONT_AWD_FA862924FB040_9700_FA862920D5020_9700,8/28/2024,FA8629
FA862924FB041,9/10/2024,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",1070400.13,THE CONTRACTOR SHALL PROVIDE FIFTY (50) COMM SUITE UPGRADE KITS FABRICATED TO THE DRAWING PACKAGE PROVIDED BY THE RDIF.,,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDHC AFLCMC WIS RDIF,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,9/13/2024,1/31/2025,2/5/2025,CONT_AWD_FA862924FB041_9700_FA862920D5020_9700,9/10/2024,FA8629
FA862924FB042,9/23/2024,"CNI AVIATION ADVANTAGE, A JOINT VENTURE, LLC",4594640.16,"THE CONTRACTOR SHALL PROVIDE TWENTY-SEVEN (27) B-52 PLLF1-11002-5 VLF KITS, TEN (10) POWER BOXES, TEN (10) S/V MODULES, AND TWO (2) SETS OF TEST CABLES",,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,F4FDHC AFLCMC WIS RDIF,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Air Force,DELIVERY ORDER,9/27/2024,7/31/2026,12/10/2024,CONT_AWD_FA862924FB042_9700_FA862920D5020_9700,9/23/2024,FA8629
FA930224F0109,8/13/2024,"L3 TECHNOLOGIES, INC.",2151,TELEMETRY SECURITY PRODUCTS AND ACCESSORIES REPAIR,,ONLY ONE SOURCE,NOT COMPETED,,FIRM FIXED PRICE,,MISSILE DEFENSE AGENCY (MDA),K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,334220 RADIO AND TELEVISION BROADCASTING AND WIRELESS COMMUNICATIONS EQUIPMENT MANUFACTURING,Department of Defense,Missile Defense Agency,DELIVERY ORDER,8/13/2024,10/31/2024,4/2/2025,CONT_AWD_FA930224F0109_9700_FA930220D0012_9700,8/13/2024,FA9302
N0001924F0144,12/20/2023,THE BOEING COMPANY,493277,THIS TASK ORDER IS FOR AARGM-ER PHASE 3 ENGINEERING SUPPORT ON THE E/A-18G AIRCRAFT.,N0001917R0063,ONLY ONE SOURCE,NOT COMPETED,,COST PLUS FIXED FEE,,NAVAL AIR SYSTEMS COMMAND,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,541330 ENGINEERING SERVICES,Department of Defense,Department of the Navy,DELIVERY ORDER,12/21/2023,6/30/2024,12/20/2023,CONT_AWD_N0001924F0144_9700_N0001919D0021_9700,12/20/2023,N00019
N0001924F0232,5/1/2024,THE BOEING COMPANY,128094,MASS PROPERTIES STUDY OF HYPERSONIC AIR-LAUNCHED OFFENSIVE ANTI-SURFACE WARFARE (OASUW) (HALO) CAPABILITY STORE FOR INTEGRATION ONTO F/A-18E/F AIRCRAFT,,ONLY ONE SOURCE,NOT COMPETED,1,COST PLUS FIXED FEE,NO SET ASIDE USED.,NAVAL AIR SYSTEMS COMMAND,K016 MODIFICATION OF EQUIPMENT- AIRCRAFT COMPONENTS AND ACCESSORIES,336412 AIRCRAFT ENGINE AND ENGINE PARTS MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,5/1/2024,9/30/2024,5/1/2024,CONT_AWD_N0001924F0232_9700_N0001921G0006_9700,5/1/2024,N00019
