Award ID,Award Date,Recipient Name,Awarded$,Award Description,PoP Duration,Days Till End,PoP Status,Solicitation ID,Solicitation Procedures,Competition Type,Offers Received,Contract Pricing Type,Set Aside Type,Funding Office Name,FSC,NAICS,Funding Agency,Funding Sub-Agency,Award Type,PoP Start Date,PoP End Date,Last Modified Date,generated_internal_id,effective_award_date,funding_office_code
N6833524C0030,2023-10-04 00:00:00,CANADIAN COMMERCIAL CORPORATION,15787393.13,FFG64 DUAL TRACK SET,1548,861,>60,N6833523R0255,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2023-10-04 00:00:00,2027-12-30 00:00:00,2024-03-27,CONT_AWD_N6833524C0030_9700_-NONE-_-NONE-,2023-10-04 00:00:00,N68335
N6833524C0055,2023-12-21 00:00:00,DEVAL LIFE CYCLE SUPPORT LLC,1624874.14,"TRAILER,GROUND HANDLING",754,131,>60,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1740 AIRFIELD SPECIALIZED TRUCKS AND TRAILERS,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2023-12-07 00:00:00,2025-12-30 00:00:00,2023-12-21,CONT_AWD_N6833524C0055_9700_-NONE-_-NONE-,2023-12-21 00:00:00,N68335
N6833524C0108,2024-07-11 00:00:00,"GENERAL DYNAMICS-OTS, INC.",1944084.42,LOADER ASSEMBLY,730,324,>60,,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,332993 AMMUNITION (EXCEPT SMALL ARMS) MANUFACTURING,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2024-07-11 00:00:00,2026-07-11 00:00:00,2025-01-29,CONT_AWD_N6833524C0108_9700_-NONE-_-NONE-,2024-07-11 00:00:00,N68335
N6833524C0185,2024-01-03 00:00:00,"DAVIS AIRCRAFT PRODUCTS CO., INC.",1248602.1,"TIE DOWN,ROTARY WING BLADE",636,40,30-44,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2024-01-03 00:00:00,2025-09-30 00:00:00,2025-05-15,CONT_AWD_N6833524C0185_9700_-NONE-_-NONE-,2024-01-03 00:00:00,N68335
N6833524C0436,2024-06-17 00:00:00,"CRITICAL COMMUNICATIONS, CONTROLS AND INSTRUMENTS, LLC",1739925.09,QUALIFICATION TEST PROTOTYPES,419,-11,Ended,N6833524R0189,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1710 AIRCRAFT LANDING EQUIPMENT,"334511 SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",Department of Defense,Department of the Navy,DEFINITIVE CONTRACT,2024-06-17 00:00:00,2025-08-10 00:00:00,2025-02-19,CONT_AWD_N6833524C0436_9700_-NONE-_-NONE-,2024-06-17 00:00:00,N68335
N6833524F0037,2023-12-15 00:00:00,"CRITICAL COMMUNICATIONS, CONTROLS AND INSTRUMENTS, LLC",3306141.83,ALS-CPS CONTROL PANEL,819,204,>60,N6833523R0305,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1710 AIRCRAFT LANDING EQUIPMENT,"334511 SEARCH, DETECTION, NAVIGATION, GUIDANCE, AERONAUTICAL, AND NAUTICAL SYSTEM AND INSTRUMENT MANUFACTURING",Department of Defense,Department of the Navy,DELIVERY ORDER,2023-12-15 00:00:00,2026-03-13 00:00:00,2025-03-13,CONT_AWD_N6833524F0037_9700_N6833522G0035_9700,2023-12-15 00:00:00,N68335
N6833524F0040,2024-02-15 00:00:00,CANADIAN COMMERCIAL CORPORATION,3990975.57,RAPID SECURING DEVICE - CSI,1018,449,>60,,ONLY ONE SOURCE,NOT COMPETED,1.0,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1710 AIRCRAFT LANDING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,2024-01-30 00:00:00,2026-11-13 00:00:00,2024-02-15,CONT_AWD_N6833524F0040_9700_N6833520G3036_9700,2024-02-15 00:00:00,N68335
N6833524F0092,2024-03-13 00:00:00,THE BOEING COMPANY,133792.84,RIGHT HAND (RH) HORIZONTAL STABILIZER,730,199,>60,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,1,FIRM FIXED PRICE,NO SET ASIDE USED.,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,336413 OTHER AIRCRAFT PARTS AND AUXILIARY EQUIPMENT MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,2024-03-13 00:00:00,2026-03-13 00:00:00,2024-03-13,CONT_AWD_N6833524F0092_9700_N6833521G0020_9700,2024-03-13 00:00:00,N68335
N6833524F0095,2024-02-27 00:00:00,DEVAL LIFE CYCLE SUPPORT LLC,332528.0,MHU-191A/M MUNITIONS TRANSPORTER OY 2,313,-238,Ended,N6833522R0026,NEGOTIATED PROPOSAL/QUOTE,FULL AND OPEN COMPETITION AFTER EXCLUSION OF SOURCES,,FIRM FIXED PRICE,,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,"333924 INDUSTRIAL TRUCK, TRACTOR, TRAILER, AND STACKER MACHINERY MANUFACTURING",Department of Defense,Department of the Navy,DELIVERY ORDER,2024-02-22 00:00:00,2024-12-31 00:00:00,2024-10-28,CONT_AWD_N6833524F0095_9700_N6833522D0037_9700,2024-02-27 00:00:00,N68335
N6833524F0179,2024-03-01 00:00:00,CHOCTAW DEFENSE MANUFACTURING LLC,3188367.0,ORDERING PERIOD 3 - MHU-230M,455,-83,Ended,,ONLY ONE SOURCE,NOT AVAILABLE FOR COMPETITION,,FIRM FIXED PRICE,,NAVAIR WARFARE CTR AIRCRAFT DIV,1730 AIRCRAFT GROUND SERVICING EQUIPMENT,332312 FABRICATED STRUCTURAL METAL MANUFACTURING,Department of Defense,Department of the Navy,DELIVERY ORDER,2024-03-01 00:00:00,2025-05-30 00:00:00,2024-07-10,CONT_AWD_N6833524F0179_9700_N6833521D0053_9700,2024-03-01 00:00:00,N68335
