Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,BSA,Budget SubActivity (BSA) Title,Budget Line Item,Budget Line Item (BLI) Title,Cost Type,Cost Type Title,FY 2024 Actuals Quantity,FY 2024 Actuals Amount,FY 2025 Enacted Quantity,FY 2025 Enacted Amount,FY 2026 Disc Request Quantity,FY 2026 Disc Request Amount,FY 2026 Reconciliation Request Quantity,FY 2026 Reconciliation Request Amount,FY 2026 Total Quantity,FY 2026 Total Amount
2031A,"Aircraft Procurement, Army",A,01,Aircraft,2,10,Fixed Wing,9670A00005,MQ-1 UAV,A,Weapon System Cost,,,8,"240,000",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,3,10,Fixed Wing,9672A00510,Future UAS Family,A,Weapon System Cost,,,,"143,182",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,5,10,Fixed Wing,9678A12500,SMALL UNMANNED AIRCRAFT SYSTEMS,A,Weapon System Cost,,"49,969",,"43,514",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,6,10,Fixed Wing,9697A12400,"HADES PLATFORM, PAYLOADS/PED, AND INTEGRATION",A,Weapon System Cost,,,,,,"26,850",,,,"26,850"
2031A,"Aircraft Procurement, Army",A,01,Aircraft,8,20,Rotary,4742A05001,UH-72 LAKOTA LIGHT UTILITY HELICOPTER,A,Weapon System Cost,1,"10,000",,"10,000",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,9,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,A,Weapon System Cost,37,"818,535",31,"667,759",,"1,669",,,,"1,669"
2031A,"Aircraft Procurement, Army",A,01,Aircraft,9,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,B,Less: Advance Procurement (PY),,"-169,218",,"-110,360",,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,10,20,Rotary,5757A05111,AH-64 Apache Block IIIA Reman,C,Advance Procurement (CY),,"110,360",,,,,,,,
2031A,"Aircraft Procurement, Army",A,01,Aircraft,13,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),A,Weapon System Cost,26,"796,405",26,"861,548",24,"790,230",,,24,"790,230"
2031A,"Aircraft Procurement, Army",A,01,Aircraft,13,20,Rotary,6771AA0005,UH-60 Blackhawk M Model (MYP),B,Less: Advance Procurement (PY),,"-68,147",,"-92,494",,"-58,170",,,,"-58,170"
