Account,Account Title,Organization,Budget Activity,Budget Activity Title,AG/BSA,AG/Budget SubActivity (BSA) Title,Line Number,SAG/BLI,SAG/Budget Line Item (BLI) Title,FY 2024 Actuals,FY 2025 Enacted,FY 2025 Supplemental,FY 2025 Total,FY 2026 Disc Request,FY 2026 Reconciliation Request,FY 2026 Total
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,010,111,Maneuver Units,"5,496,093","4,300,944",,"4,300,944","4,671,407",,"4,671,407"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,020,112,Modular Support Brigades,"208,689","190,233",,"190,233","221,578",,"221,578"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,030,113,Echelons Above Brigade,"1,063,294","786,520",,"786,520","927,219",,"927,219"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,040,114,Theater Level Assets,"2,599,705","2,308,252",,"2,308,252","2,220,746",,"2,220,746"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,050,115,Land Forces Operations Support,"1,201,171","1,156,537",,"1,156,537","1,333,769",,"1,333,769"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,11,Land Forces,060,116,Aviation Assets,"2,061,810","1,947,161","79,333","2,026,494","1,829,054","23,000","1,852,054"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,12,Land Forces Readiness,070,121,Force Readiness Operations Support,"8,678,801","6,975,983",,"6,975,983","7,497,735","66,300","7,564,035"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,12,Land Forces Readiness,080,122,Land Forces Systems Readiness,"485,854","528,542",,"528,542","583,196",,"583,196"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,12,Land Forces Readiness,090,123,Land Forces Depot Maintenance,"1,596,759","1,204,189","20,000","1,224,189","152,404","1,488,300","1,640,704"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,12,Land Forces Readiness,100,124,Medical Readiness,"909,215","857,970",,"857,970","844,140",,"844,140"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,110,131,Base Operations Support,"9,952,103","9,912,446","1,937","9,914,383","10,694,915","30,000","10,724,915"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,120,132,"Facilities Sustainment, Restoration & Modernization","5,375,781","4,081,281","350,621","4,431,902","6,159,744","427,213","6,586,957"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,130,133,Management and Operational Headquarters,"300,403","308,494",,"308,494","263,147",,"263,147"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,140,135,Additional Activities,"421,190","302,625",,"302,625","392,457",,"392,457"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,13,Land Forces Readiness Support,150,137,RESET,"446,706","317,526",,"317,526","111,688",,"111,688"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,60,Combatant Command Support,160,141,US Africa Command,"448,853","423,898",,"423,898","413,046",,"413,046"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,60,Combatant Command Support,170,142,US European Command,"352,375","320,431",,"320,431","385,744",,"385,744"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,60,Combatant Command Support,180,143,US Southern Command,"303,356","257,429",,"257,429","224,971",,"224,971"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,60,Combatant Command Support,190,144,US Forces Korea,"87,522","70,738",,"70,738","77,049",,"77,049"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,CA,Cyberspace Activities,200,151,Cyberspace Activities - Cyberspace Operations,"499,697","416,160",,"416,160","331,467","3,097","334,564"
2020A,"Operation and Maintenance, Army",A,01,Operating Forces,CA,Cyberspace Activities,210,153,Cyberspace Activities - Cybersecurity,"706,296","589,584",,"589,584","550,089","10,000","560,089"
2020A,"Operation and Maintenance, Army",A,02,Mobilization,21,Mobility Operations,220,211,Strategic Mobility,"586,440","530,130",,"530,130","134,892",,"134,892"
2020A,"Operation and Maintenance, Army",A,02,Mobilization,21,Mobility Operations,230,212,Army Prepositioned Stocks,"457,299","416,852",,"416,852","330,812",,"330,812"
2020A,"Operation and Maintenance, Army",A,02,Mobilization,21,Mobility Operations,240,213,Industrial Preparedness,"4,244","4,298",,"4,298","3,162",,"3,162"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,31,Accession Training,250,311,Officer Acquisition,"175,043","200,216",,"200,216","172,424",,"172,424"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,31,Accession Training,260,312,Recruit Training,"73,959","97,158",,"97,158","78,929",,"78,929"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,31,Accession Training,270,313,One Station Unit Training,"109,141","92,471",,"92,471","88,033",,"88,033"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,31,Accession Training,280,314,Senior Reserve Officers Training Corps,"549,204","555,221",,"555,221","508,982",,"508,982"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,32,Basic Skill and Advanced Training,290,321,Specialized Skill Training,"1,090,786","1,027,447",,"1,027,447","988,901",,"988,901"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,32,Basic Skill and Advanced Training,300,322,Flight Training,"1,331,213","1,410,905",,"1,410,905","1,398,974",,"1,398,974"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,32,Basic Skill and Advanced Training,310,323,Professional Development Education,"194,185","212,609",,"212,609","202,738",,"202,738"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,32,Basic Skill and Advanced Training,320,324,Training Support,"674,890","731,289",,"731,289","596,528",,"596,528"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",330,331,Recruiting and Advertising,"745,244","819,126",,"819,126","747,712",,"747,712"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",340,332,Examining,"194,233","203,737",3,"203,740","177,666",,"177,666"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",350,333,Off-Duty and Voluntary Education,"257,177","242,025",,"242,025","181,211","30,000","211,211"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",360,334,Civilian Education and Training,"246,833","245,401",,"245,401","227,476",,"227,476"
2020A,"Operation and Maintenance, Army",A,03,Training and Recruiting,33,"Recruiting, Other Training & Education",370,335,Junior Reserve Officer Training Corps,"205,026","206,163",,"206,163","190,668",,"190,668"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,42,Logistics Operations,390,421,Servicewide Transportation,"823,297","783,676",,"783,676","1,306,690",,"1,306,690"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,42,Logistics Operations,400,422,Central Supply Activities,"879,351","897,415",,"897,415","740,581",,"740,581"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,42,Logistics Operations,410,423,Logistic Support Activities,"845,864","731,859",,"731,859","588,151",,"588,151"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,42,Logistics Operations,420,424,Ammunition Management,"462,728","410,330",,"410,330","344,948",,"344,948"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,43,Servicewide Support,430,431,Administration,"531,165","503,263",,"503,263","408,825",,"408,825"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,43,Servicewide Support,440,432,Servicewide Communications,"2,073,619","1,719,878",,"1,719,878","2,171,607",,"2,171,607"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,43,Servicewide Support,450,433,Manpower Management,"369,876","370,028",,"370,028","313,323",,"313,323"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,43,Servicewide Support,460,434,Other Personnel Support,"855,406","925,725",,"925,725","853,139",,"853,139"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,43,Servicewide Support,470,435,Other Service Support,"2,320,470","2,375,420",,"2,375,420","2,078,411",,"2,078,411"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,43,Servicewide Support,480,436,Army Claims Activities,"188,344","202,441",,"202,441","223,611",,"223,611"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,43,Servicewide Support,490,437,Real Estate Management,"293,320","294,852",,"294,852","294,705",,"294,705"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,43,Servicewide Support,500,438,Financial Management and Audit Readiness,"488,109","590,946",,"590,946","618,471",,"618,471"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,43,Servicewide Support,510,43Q,Def Acquisition Workforce Development Account,"39,200","40,261",,"40,261","36,510",,"36,510"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,44,Support of Other Nations,520,441,International Military Headquarters,"600,520","594,715",,"594,715","664,510",,"664,510"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,44,Support of Other Nations,530,442,Misc. Support of Other Nations,"37,068","33,945",,"33,945","31,387",,"31,387"
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,45,Closed Account Adjustments,540,451,Closed Account Adjustments,"14,787",,,,,,
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,45,Closed Account Adjustments,550,471,Foreign Currency Fluctuation,"74,906",,,,,,
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,45,Closed Account Adjustments,560,493,Defense Environmental Restoration Account (DERA),"499,601",,,,,,
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,46,Judgment Fund,570,461,Judgment Fund,688,,,,,,
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,48,Collections,580,482,Energy Savings,"65,594",,,,,,
2020A,"Operation and Maintenance, Army",A,04,Administration and Service-wide Activities,48,Collections,590,483,Agricultural and Grazing Program,"3,581",,,,,,
2020A,"Operation and Maintenance, Army",,04,,,,999,9999,Classified Programs,"2,394,923","2,378,719",,"2,378,719","2,385,523","33,500","2,419,023"
2080A,"Operation and Maintenance, Army Reserve",A,01,Operating forces,11,Land Forces,010,112,Modular Support Brigades,"11,688","12,098",,"12,098","14,651",,"14,651"
