Account,Account Title,Organization,Budget Activity,Budget Activity Title,Line Number,PE/BLI,Program Element/Budget Line Item (BLI) Title,Include In TOA,FY 2024 Actuals,FY 2025 Enacted,FY 2025 Supplemental,FY 2025 Total,FY 2026 Disc Request,FY 2026 Reconciliation Request,FY 2026 Total
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,1,0601102A,Defense Research Sciences,Y,"322,341","297,680",,"297,680","237,678",,"237,678"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,2,0601103A,University Research Initiatives,Y,"72,781","78,166",,"78,166","78,947",,"78,947"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,3,0601104A,University and Industry Research Centers,Y,"117,872","113,476",,"113,476","69,391",,"69,391"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,4,0601121A,Cyber Collaborative Research Alliance,Y,"5,459","5,525",,"5,525","5,463",,"5,463"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,5,0601275A,Electronic Warfare Basic Research,Y,,,,,"88,053",,"88,053"
2040A,"Research, Development, Test and Evaluation, Army",A,01,Basic research,6,0601601A,Artificial Intelligence and Machine Learning Basic Research,Y,"10,206","10,309",,"10,309","7,012",,"7,012"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,7,0602002A,Army Agile Innovation and Development-Applied Research,Y,964,"1,000",,"1,000","9,455",,"9,455"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,8,0602134A,Counter Improvised-Threat Advanced Studies,Y,"6,014","6,163",,"6,163","6,174",,"6,174"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,9,0602135A,Counter Small Unmanned Aerial Systems (C-SUAS) Applied Research,Y,,,,,"12,618",,"12,618"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,10,0602141A,Lethality Technology,Y,"145,375","128,659",,"128,659","97,157",,"97,157"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,11,0602142A,Army Applied Research,Y,"38,072",,,,,,
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,12,0602143A,Soldier Lethality Technology,Y,"209,084","137,771",,"137,771","72,670",,"72,670"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,13,0602144A,Ground Technology,Y,"266,663","155,829",,"155,829","56,342",,"56,342"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,14,0602145A,Next Generation Combat Vehicle Technology,Y,"248,335","167,233",,"167,233","71,547",,"71,547"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,15,0602146A,Network C3I Technology,Y,"135,543","110,417",,"110,417","56,529",,"56,529"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,16,0602147A,Long Range Precision Fires Technology,Y,"96,154","67,589",,"67,589","25,744",,"25,744"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,17,0602148A,Future Verticle Lift Technology,Y,"104,850","52,350",,"52,350","20,420",,"20,420"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,18,0602150A,Air and Missile Defense Technology,Y,"102,784","49,188",,"49,188","25,992",,"25,992"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,19,0602180A,Artificial Intelligence and Machine Learning Technologies,Y,"23,702","20,319",,"20,319","13,745",,"13,745"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,20,0602181A,All Domain Convergence Applied Research,Y,"13,775","12,269",,"12,269",,,
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,21,0602182A,C3I Applied Research,Y,"31,635","25,839",,"25,839","22,317",,"22,317"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,22,0602183A,Air Platform Applied Research,Y,"53,611","48,854",,"48,854","53,305",,"53,305"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,23,0602184A,Soldier Applied Research,Y,"17,622","14,131",,"14,131","27,597",,"27,597"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,24,0602213A,C3I Applied Cyber,Y,"20,664","28,656",,"28,656","4,716",,"4,716"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,25,0602275A,Electronic Warfare Applied Research,Y,,,,,"45,415",,"45,415"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,26,0602276A,Electronic Warfare Cyber Applied Research,Y,,,,,"17,102",,"17,102"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,27,0602345A,Unmanned Aerial Systems Launched Effects Applied Research,Y,,,,,"18,408",,"18,408"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,28,0602386A,Biotechnology for Materials - Applied Research,Y,"16,060","11,780",,"11,780","8,209",,"8,209"
2040A,"Research, Development, Test and Evaluation, Army",A,02,Applied Research,30,0602785A,Manpower/Personnel/Training Technology,Y,"19,667","19,795",,"19,795","17,191",,"17,191"
